iter	Passed	Remaining
0	0	64
1	1	59
2	1	56
3	2	52
4	2	52
5	3	52
6	3	51
7	4	50
8	4	50
9	5	49
10	6	48
11	6	48
12	7	47
13	7	47
14	8	47
15	8	46
16	9	45
17	9	45
18	10	44
19	11	44
20	11	43
21	12	43
22	12	42
23	13	41
24	13	41
25	14	40
26	14	40
27	15	39
28	16	39
29	16	38
30	17	38
31	17	37
32	18	36
33	18	36
34	19	35
35	19	35
36	20	34
37	20	34
38	21	33
39	22	33
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	24	29
46	25	28
47	26	28
48	26	27
49	27	27
50	27	26
51	28	26
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	31	22
59	32	21
60	32	21
61	33	20
62	33	19
63	34	19
64	35	18
65	35	18
66	36	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	40	14
74	40	13
75	41	13
76	41	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	44	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	48	5
89	48	5
90	49	4
91	49	4
92	50	3
93	50	3
94	51	2
95	51	2
96	52	1
97	52	1
98	53	0
99	54	0
